text;label
muito bom;__label__0
is lovely and easy to use;__label__0
very good app;__label__0
Pratico, Rapido e Facil;__label__0
É fácil de usar.;__label__0
Com esse App tenho controle dos gastos e informacoes sobre a fatura. Simples e pratico. Parabens ao Atacadao e ao Grupo Carrefour pela iniciativa;__label__0
Gostei;__label__0
muito bom;__label__0
muito bom!;__label__0
Gostosa;__label__0
Excellent;__label__0
Bom app falta autenticar por biometria;__label__1
Muito prático, recomendo.;__label__0
Poderia ter a opção de abrir o aplicativo com a digital. Seria mais rápido e seguro. Obrigado;__label__1
Cara, dá logo um cartão pras pessoas. Não fica analisando muito não. Tem nome limpo, tome cartão! Pronto e acabou! Tá OK?;__label__1
Bom app, parabéns!;__label__0
Bom dia esse cartão tem anuidade, c sim qual é o valor?;__label__0
Não consegui cadastrar meus dados para utilizar o app. Há muito tempo só dá a mensagem "Informações Indisponível". Será que o motivo é que ainda não usei o cartão?;__label__2
I don\t like;__label__0
Vários problemas na autenticação do usuário;__label__2
O aplicativo é péssimo, não consigo cadastrar a senha mesmo colocando todas as coisas que pedem. Já tentei pelo celular do meu pai e do meu e nada!;__label__2
Infelizmente o app não funciona. Não consigo acesso de nenhuma forma. Não tem como acompanhar nenhuma informação sobre minha movimentação.;__label__2
Nao dá de pagar com app a opçao aparece, ta ali mas nada acontece, so me emcomodo;__label__2
quase nunca funciona;__label__0
Pior cartão que ja usei na vida, ja até cancelei. Sistema muitro \natrapalhado.. Pelo menos o de funcionario sim.. Creio que de clientes tbm, \ne o pior. Cobram anuidade pelo serviço.;__label__0
Péssimo software. Se usado no 4g, fica lento a ponto de não poder ser utilizado. Diz que tem uma versão atualizada mas no Google play mostra q ja esta atualizado. Quando vou efetuar o login, aparece mensagem de erro "usuario já logado".;__label__2
Aplicativo não está abrindo. Funcionava bem depois que atualizou parou.;__label__2
Passei um grande susto, entrei no aplicativo e no histórico de compras aparece várias compras em Guarulhos (sou de Piracicaba), já tava ligando pro 0800 bloquear o cartão, mas saí e entrei de novo e apareceu normalmente minhas compras. Repeti o processo mais uma vez e apareceu várias compras em Andradina, aí confirmei que era problena no app. Consertem isso aí. Outro problema é o limite restante não bater com real.;__label__2
Nunca funcionou. Não passei da tela de colocar o cpf. Dá um erro. Já reinstalei algumas vezes. Também pararam de enviar minha fatura para o email. Esperem que eu pague ela em um passe de mágica?;__label__2
App Lixo!;__label__0
Péssimo de manuseio esses dias, nem acesso as faturas eu consigo ter antes do dia do vencimento, só funciona e disponibiliza a fatura depois que a própria vence... Cansado de pagar juros por este motivo.;__label__2
Pelo amor de Deus tira este troço chato (reCaptcha) está estressando de mais o uso do app;__label__1
Funcionou nos primeiros dias e agora não consigo mais acessar, a tela do APP fica processando mas não entra. Mesmo acessando pelo site aparecem vários erros que impossibilitam qualquer consulta.;__label__2
Tem muita coisa que precisa ser melhorado nesse aplicativo, principalmente os detalhes das faturas. Muito desorganizado!;__label__1
App simples demais. Copiem as funções do app do Santander,ele sim é um belo app;__label__0
nada ainda. app em manutenção.;__label__0
Very good app!;__label__0
Aplicativo bem intuitivo e fácil de usar. Realmente funciona muito bem!;__label__0
Vivo fora do Brasil e esse aplicativo tem sido muito útil.;__label__0
Muito útil.;__label__0
Bom;__label__0
Parabéns a todos os membros da equipe que desenvolvem o aplicativo! Fizeram um ótimo trabalho, tanto nas funcionalidades quanto na experiência do usuário.;__label__0
Funcionando perfeitamente.;__label__0
É bom poder acessar a sua conta bancaria no celular.;__label__0
Pratico e facil de usar. Na hora de ler o codigo de barras poderia mostrar o numero do cod lido pra conferir.;__label__1
otimo aplicativo;__label__0
Estou satisfeito com o app.;__label__0
Muito bom!;__label__0
Muito completo, é possivel fazer quase todas as operações disponíveis na internet! Muito bom!;__label__0
Uso direto pra pagar boletos. Muito bom;__label__0
Funcional e de fácil uso. Interface amigável e de visual agradável. Ótimo app!;__label__0
Aplicativo simples, fácil, rápido e eficiente. Agiliza seu dia a dia. Quase todas as funções da internet e terminais estão disponíveis. Excelente!;__label__1
Great facility of online banking;__label__0
Excellent!!!! Cada dia melhor!!!;__label__0
Adorei;__label__0
Muito satisfatório...;__label__0
Rápido e eficiente.;__label__0
Excelente;__label__0
very good;__label__0
Muito bom e uteil;__label__0
Nica app;__label__0
Muito pratico pra saber seu extrato, muito mais simples que o site;__label__0
Otimo aplicativo !;__label__0
Bom;__label__0
Sempre facilitou minha vida. Crédito no celular, transferências. QUERO SACAR DINHEIRO PELO CELULAR, PROVIDENCIEM. (:;__label__0
Nível de segurança excelente além da praticidade.;__label__0
fácil de usar e muito prático;__label__0
Muito Bom!;__label__0
Otimo;__label__0
Em meu tablet  o app do BB funcionava perfeitamente, mas após esta atualização não consiguia nem abrir o aplicativo. Ao tentar aparece uma mensagem dizendo que o aplicativo parou de funcionar. Fiquei na mão!!! O android é a versão 4.2.1 jornal 3.4.5 e o aparelho é um Genesis GT7305. Para minha surpresa me responderam e dias depois a correção aconteceu e o APP passou a funcionar. Grata surpresa! Ótima resposta da equipe BB.;__label__2
Era o melhor app de banco, porém  nas últimas semanas, toda hora fecha no meio das transações, voltando para a tela inicial. Baixei a nota, tem que consertar...;__label__2
Funciona muito bem!;__label__0
Continou melhorando o APP que já era ótimo. Com uma interface voltada as novas tendencias do Google o aplicativo ficou mais rápido e intuitivo. Excelente;__label__0
Já tentei várias vezes acessar minha conta, mas é impossível! Não conecta a internet msm o sinal d wifi estando no maximo! Desinstalei e instalei diversas vezes pra ver se o problema era resolvido e de nada adiantou!;__label__2
eficiente;__label__0
A princípio não gostei muito da nova interface do app, mas é incomparavelmente melhor e mais funcional q a versão antiga!  Muito bom!;__label__0
Muito bom!;__label__0
Application practice and very stable.;__label__0
bem ultil;__label__0
Muito Prático!;__label__0
A parte para pessoa física, que foi a única que usei é excelente. Sou cliente do BB por causa desse app.;__label__0
Faço tudo pelo aplicativo;__label__0
Gostei, da pra melhorar, mas é bem funcional;__label__0
Sempre On;__label__0
Muito melhor que o site!;__label__0
it Works well no complains!;__label__0
Pago contas e envio o comprovante pro pessoal da minha república. Muito mais simples do que ir ao banco.;__label__0
Very nice;__label__0
